CSD_identifier,la_smiles,ca_class,la_atom_count,picked_for_fia_calculation,la_xyz_successfully_generated,part_of_the_final_fia2k_csd_dataset
AWELOG,[H]c1c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c3n(-c3c(C#N)c(-n4c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c54)c4c5c3-n3c6c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c63)B5c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c6n-4c35)c2c1[H],B(III),187.0,False,not_attempted,False
AWENOI,[H]c1c([H])c([H])c2c(c1[H])Oc1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c2c1B3c1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c([H])c1O3,B(III),52.0,True,True,True
AWIMUR,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])n2c3c([H])c([H])c([H])c([H])c3c3c([H])c([H])c4c([H])c([H])c([H])c([H])c4c32)c1C([H])([H])[H],B(III),68.0,False,not_attempted,False
AWINAY,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])n2c3c([H])c([H])c(OC([H])([H])[H])c([H])c3c3c([H])c([H])c4c([H])c([H])c([H])c([H])c4c32)c1C([H])([H])[H],B(III),72.0,False,not_attempted,False
AWINEC,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])n2c3c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c3c([H])c([H])c4c([H])c([H])c([H])c([H])c4c32)c1C([H])([H])[H],B(III),77.0,False,not_attempted,False
AWINIG,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])n2c3c([H])c([H])c([H])c([H])c3c3c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c32)c1C([H])([H])[H],B(III),71.0,False,not_attempted,False
AWOYES,[H]c1c([H])c2c3c(c1[H])-c1c([H])c([H])c([H])c([H])c1N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])B3N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1-2,B(III),70.0,False,not_attempted,False
AWUGEF,[H]c1c([H])c(B2N([H])c3c([H])c([H])c([H])c4c([H])c([H])c([H])c(c34)N2[H])c([H])c([H])c1Cl,B(III),32.0,True,True,True
AWUMIQ,[H]c1c([H])c2c3c(c1[H])-c1c([H])c([H])c4c([H])c([H])c([H])c([H])c4c1N([H])B3N([H])c1c-2c([H])c([H])c2c([H])c([H])c([H])c([H])c12,B(III),46.0,True,True,True
AWUMUC,[H]c1c([H])c([H])c(-c2c([H])c([H])c3c(c2[H])-c2c([H])c([H])c([H])c4c2B(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c2c([H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c([H])c2-4)c([H])c1[H],B(III),90.0,False,not_attempted,False
